OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-1123,2020-001S,2025-05-24T14:00:20.115360,15.06393138,.0001321,53.0539,204.4633,88.5538,271.5602,0,U,44930,999,29627,.1066E-3,.1306E-4,0
STARLINK-1130 (DARKSAT),2020-001U,2025-05-25T05:26:59.554752,15.85526082,.0005503,53.0377,127.3326,41.0883,319.0554,0,U,44932,999,29864,.52678E-3,.13085E-2,0
STARLINK-1144,2020-001V,2025-05-24T19:45:39.266496,15.34122834,.0011316,53.0517,181.2839,287.2620,72.7143,0,U,44933,999,29791,.15474E-2,.51906E-3,0
STARLINK-1071,2020-001W,2025-05-25T06:00:02.000160,15.54357462,.0001397,53.0504,177.9463,71.9281,158.1882,0,U,44934,999,29669,.16714E-1,.1226078E-1,0
STARLINK-1079,2020-001Z,2025-05-24T22:00:01.999584,15.73044902,.0007645,53.0337,103.4576,51.7555,63.3151,0,U,44937,999,603,.1066E-2,.150936E-2,0
STARLINK-1091,2020-001AC,2025-05-23T15:07:23.479104,15.24450522,.0002165,53.0507,187.8848,109.5239,250.5991,0,U,44940,999,29641,.14117E-1,.368915E-2,0
STARLINK-1094,2020-001AD,2025-05-25T03:03:13.968864,15.06386999,.0001125,53.0529,182.0232,83.7706,276.3411,0,U,44941,999,29663,.27455E-3,.3809E-4,0
STARLINK-1096,2020-001AE,2025-05-24T22:32:44.741472,15.62056607,.0001689,53.0011,16.9366,136.4010,223.7136,0,U,44942,999,29892,.41055E-3,.36219E-3,0
STARLINK-1109,2020-001AH,2025-05-22T11:10:08.076864,16.13857433,.0003476,53.0303,108.0653,17.6209,83.3202,0,U,44945,999,29742,.69264E-3,.86495E-2,.46453E-3
STARLINK-1122,2020-001AM,2025-05-24T19:37:22.037952,15.06398713,.0001207,53.0540,183.4145,90.6895,269.4232,0,U,44949,999,29658,.72093E-4,.793E-5,0
STARLINK-1117,2020-001AQ,2025-05-21T20:00:01.999872,16.07851664,.0006851,53.0345,146.5121,11.7997,132.5252,0,U,44952,999,29682,.76067E-3,.639871E-2,.21896E-3
