ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,icao_code,iata_code,gps_code,local_code,coordinates
9OI1,heliport,Dice's Personal Heliport,630,NA,US,US-OH,Oklahoma City,,,9OI1,9OI1,"41.60048, -83.689698"
9OI2,heliport,Cleveland Clinic Mentor Hospital Heliport,764,NA,US,US-OH,Oklahoma City,,,9OI2,9OI2,"41.650675, -81.341"
9OI3,small_airport,Johns Landing Airport,1000,NA,US,US-OH,Pawnee,,,9OI3,9OI3,"39.89860153198242, -82.11029815673828"
9OI4,heliport,Quail Lakes Heliport,1057,NA,US,US-OH,Bartlesville,,,9OI4,9OI4,"39.45479965209961, -83.78130340576172"
9OI5,small_airport,Transportation Research Center of Ohio Airport,1100,NA,US,US-OH,Stratford,,,9OI5,9OI5,"40.308101654052734, -83.54170227050781"
9OI8,small_airport,Brothers Aviation Airport,1040,NA,US,US-OH,Eufaula,,,9OI8,9OI8,"40.031558, -81.465425"
9OI9,heliport,Riverside Methodist Hospital Heliport,746,NA,US,US-OH,Jennings,,,9OI9,9OI9,"40.03120040893555, -83.03489685058594"
9OK0,heliport,Oklahoma Governor's Mansion Heliport,1200,NA,US,US-OK,Brownsville,,,9OK0,9OK0,"35.49201, -97.49724"
9OK1,heliport,Oklahoma Medical Center Heliport,1240,NA,US,US-OK,Shaniko,,,9OK1,9OK1,"35.481196, -97.502711"
9OK2,heliport,Pawnee Municipal Hospital Heliport,925,NA,US,US-OK,Salem,,,9OK2,9OK2,"36.33340072631836, -96.80030059814453"
9OK3,small_airport,Flying Eagle Estates Airport,690,NA,US,US-OK,Klamath Falls,,,9OK3,9OK3,"36.70370101928711, -95.84049987792969"
9OK5,closed,Diamond C Ranch Airport,1140,NA,US,US-OK,Milton/Freewater,,,,,"34.778301, -96.927498"
9OK6,heliport,Community Hospital Lakeview Heliport,640,NA,US,US-OK,Portland,,,9OK6,9OK6,"35.3109016418457, -95.5907974243164"
9OK7,small_airport,Cimarron Strip,920,NA,US,US-OK,Portland,,,,9OK7,"36.184799194336, -96.550300598145"
9OR0,small_airport,Lafferty Field,360,NA,US,US-OR,Banks,,,9OR0,9OR0,"44.315101623535156, -123.0250015258789"
9OR1,small_airport,Shaniko Ranch Airport,3300,NA,US,US-OR,Albany,,,9OR1,9OR1,"45.002899169921875, -120.73999786376953"
9OR2,heliport,Reforestation Services Heliport,410,NA,US,US-OR,Portland,,,9OR2,9OR2,"44.86819839477539, -123.02300262451172"
9OR3,heliport,Sky Lakes Medical Center Heliport,4420,NA,US,US-OR,Parker Ford,,,9OR3,9OR3,"42.252761, -121.786208"
9OR4,small_airport,King's Airport,950,NA,US,US-OR,Pennsburg,,,9OR4,9OR4,"45.93370056152344, -118.447998046875"
9OR5,heliport,Portland Adventist Medical Center Heliport,322,NA,US,US-OR,Leighton,,,9OR5,9OR5,"45.513215, -122.558599"
9OR6,heliport,Oregon Health Sciences University Emerg Heliport,540,NA,US,US-OR,Philadelphia,,,9OR6,9OR6,"45.4991281091, -122.685334682"
