h3_index,lat,lon
820747fffffffff,64.50540974148606,-18.180080498992833
82075ffffffffff,64.68896968852494,-24.14719116112847
820887fffffffff,60.19121804861819,18.258530119185007
82088ffffffffff,61.965452099271594,21.82005569963072
82089ffffffffff,59.45696665405675,23.223130073548568
8208a7fffffffff,60.72281054812719,13.207957366224184
8208b7fffffffff,58.56033513730174,14.388555186296745
82098ffffffffff,61.052963235069384,8.14847753595213
82099ffffffffff,58.97566347103951,9.519746713993914
820e27fffffffff,62.57254654041516,-72.43418130016084
820f0ffffffffff,64.51437320228267,-66.99113099287534
820f57fffffffff,61.422139597848414,-66.26986827187062
821127fffffffff,61.43268145278825,26.534522805834147
8212c7fffffffff,51.54314257905219,-116.786808093498
8212cffffffffff,49.56613473678873,-113.5128197504456
8212d7fffffffff,50.7123042545093,-120.72664178119837
8212dffffffffff,48.880253596599395,-117.42335711850694
8212effffffffff,52.261146579911866,-112.55442556870629
821827fffffffff,54.85148827826269,-8.959985059736654
82182ffffffffff,52.274404124336556,-6.9758351155873255
821867fffffffff,49.035215956789386,-1.0231258637586065
82186ffffffffff,46.320953775035264,0.35894190429381356
821947fffffffff,53.65281407036234,0.21425890616290125
82194ffffffffff,51.00744147234029,1.633770300809279
821957fffffffff,54.33189691726951,-4.249992672816817
82195ffffffffff,51.71098292606533,-2.552052713494834
82196ffffffffff,52.839049987155235,4.4018742697016755
821e07fffffffff,48.75834972358443,18.30304448063796
821e0ffffffffff,47.85598025023773,22.44362911900284
821e17fffffffff,46.84548643153596,15.061696282231404
821e1ffffffffff,46.03683786927444,19.11746859318872
821e27fffffffff,51.376729830720215,17.42957346171092
821e2ffffffffff,50.54153346852887,21.72899173091741
821e37fffffffff,49.49520581246236,14.10229966895383
821e47fffffffff,48.37541723902849,29.986161805004027
821e57fffffffff,46.795300106987106,26.48343278347068
821e67fffffffff,51.068829208096865,29.55377984004356
821e6ffffffffff,49.80294598466496,33.59725801661706
821e87fffffffff,42.05079068484173,12.975217475192519
821e8ffffffffff,41.25581020000331,16.801280064516853
