client_city,client_country_code,server_city,server_country_code,distance
Seattle,US,Paris,FR,8063.32
Vernon,US,Newark,US,58.75
Panama City,PA,Miami,US,1862.22
Accra,GH,Lagos,NG,410.05
Narrawa,AU,Sydney,AU,204.37
Accra,GH,Paris,FR,4806.52
Tokyo,JP,Frankfurt,DE,9357.68
Seattle,US,Brussels,BE,7965.22
Buenos Aires,AR,Buenos Aires,AR,0.0
Rome,IT,Hamburg,DE,1309.17
Buenos Aires,AR,Dallas,US,8470.66
Miami,US,Toronto,CA,1993.66
Mexico City,MX,Dallas-Fort Worth,US,1506.49
Phoenix,US,Monterrey,MX,1434.85
Warsaw,PL,Frankfurt,DE,892.7
Manila,PH,Seattle,US,10704.3
Kandos,AU,Sydney,AU,159.71
Sammamish,US,Seattle,US,21.37
Dallas,US,Sydney,AU,13819.03
Canungra,AU,Sydney (Mascot),AU,672.26
San Jose,US,San Francisco Bay Area,US,72.09
Trout Run,US,New York,US,274.31
New Bethlehem,US,Macomb,US,959.8
Juba,SS,Doha,QA,3108.76
Sunshine Coast,AU,Melbourne,AU,1454.08
Doha,QA,Tel Aviv,IL,1799.34
Zurich,CH,Maputo,MZ,8467.38
Durras North,AU,Sydney (Mascot),AU,212.84
Berlin,DE,Stavanger,NO,863.64
Auckland,NZ,Los Angeles,US,10470.73
Lilongwe,MW,Cape Town,ZA,2700.18
Manila,PH,New York,US,13694.04
Amsterdam,NL,Lagos,NG,5092.92
Auckland,NZ,Sydney (Mascot),AU,2160.8
Salt Lake City,US,Los Angeles,US,934.96
Perth,AU,Melbourne,AU,2726.71
St John's,AG,Bogota,CO,1913.75
Albion Park Rail,AU,Sydney (Mascot),AU,85.72
Chicago,US,San Francisco Bay Area,US,2989.23
Yaren District,NR,Sydney (Mascot),AU,4036.58
Ashburn,US,Las Vegas,US,3326.56
Harare,ZW,Maputo,MZ,909.09
Sydney,AU,Paris,FR,16956.73
Wagga Wagga,AU,Sydney,AU,378.27
Freetown,SL,Lisbon,PT,3373.53
Madrid,ES,Turin,IT,1064.53
Porto-Novo,BJ,Lisbon,PT,3758.77
Salt Lake City,US,Charleston,US,2967.39
Calgary,CA,Vancouver,CA,675.45
Lilongwe,MW,Johannesburg,ZA,1481.27
Paris,FR,Omaha,US,7235.03
Denver,US,Columbus,US,1868.17
London,GB,Miami,US,7138.67
Manama,BH,Doha,QA,140.6
Abakaliki,NG,Toronto,CA,9326.52
Kigali,RW,Paris,FR,6231.47
Sydney,AU,Tokyo,JP,7791.39
Stratford,CA,Seoul,KR,10608.01
Lagos,NG,Paris,FR,4700.91
Sydney,AU,Wellington,NZ,2230.75
Miami,US,Salt Lake City,US,3363.62
Santiago,CL,Hamburg,DE,12352.36
Valletta,MT,Ferno (VA),IT,1182.66
Adelaide,AU,Sydney,AU,1163.78
Sydney,AU,Vancouver,CA,12484.1
Accra,GH,San Francisco Bay Area,US,12369.24
Mexico City,MX,Dallas,US,1498.88
Salt Lake City,US,Sydney,AU,12893.11
Ashburn,US,Omaha,US,1599.53
Sao Paulo,BR,Sao Paulo,BR,0.0
Mountain Grove,CA,Toronto,CA,230.16
Manila,PH,Calgary,CA,10998.03
Kulnura,AU,Melbourne,AU,761.46
Fredericton,CA,Newark,US,842.8
Los Angeles,US,Washington,US,3713.66
Warrah Ridge,AU,Sydney,AU,259.2
Montevideo,UY,Buenos Aires,AR,203.94
Nuku'alofa,TO,Wellington,NZ,2425.96
Galston,AU,Melbourne,AU,719.75
Luray,US,Newark,US,432.94
Calgary,CA,Seattle,US,710.43
Chinchilla,AU,Sydney (Mascot),AU,791.19
Athens,GR,Milan,IT,1464.05
Accra,GH,New York,US,8238.85
Punxsutawney,US,Macomb,US,990.19
Fort Ann,US,Newark,US,304.09
Lagos,NG,Dallas,US,10569.15
Juba,SS,Lagos,NG,3128.39
Gooderham,CA,Newark,US,577.97
Minneapolis,US,Charleston,US,1769.89
Nairobi,KE,Lagos,NG,3812.39
Temple,US,Dallas,US,196.07
Juba,SS,Stavanger,NO,6403.08
San Jose,US,Portland,US,917.14
Santiago,CL,Frankfurt,DE,12088.57
York Springs,US,Newark,US,262.27
Montrose,US,New York,US,2907.69
Brussels,BE,Dublin,IE,777.85
West Island,CC,Sydney,AU,5987.82
Miami,US,Madrid,ES,7104.05
Sackville Reach,AU,Sydney,AU,50.85
Los Angeles,US,Hamburg,DE,9098.92
Chicago,US,Omaha,US,700.65
Calgary,CA,Frankfurt,DE,7556.84
Chicago,US,Miami,US,1908.52
Calgary,CA,Stockholm,SE,7029.75
Mackay,AU,Melbourne,AU,1892.39
Athens,US,New York,US,1121.61
Tokyo,JP,Seattle,US,7711.27
Ashburn,US,Montreal,CA,788.62
Berlin,DE,Dublin,IE,1321.27
Ashburn,US,London,GB,5932.83
Middleburg,US,New York,US,1384.16
Valletta,MT,Berlin,DE,1849.01
Mexico City,MX,Sao Paulo,BR,7421.89
Zurich,CH,Madrid,ES,1248.67
Sydney,AU,Montreal,CA,16027.48
Lagos,NG,Mumbai,IN,7630.4
Atalaia do Norte Municipality,BR,Sao Paulo,BR,3302.33
Halifax,CA,Moncton,CA,189.2
Calgary,CA,Prague,CZ,7783.97
Ontario,CA,Montreal,CA,514.68
Berlin,DE,Milan,IT,842.47
Culiacán,MX,Mexico City,MX,1038.39
Paris,FR,Dallas,US,7949.17
Miami,US,New York,US,1753.1
Seattle,US,Salt Lake City,US,1124.46
Billings,US,Spokane,US,709.73
Salt Lake City,US,Milan,IT,8805.43
Brasilia,BR,Sao Paulo,BR,868.57
Mexico City,MX,Los Angeles,US,2505.5
Denver,US,Seattle,US,1649.96
Lisbon,PT,Frankfurt,DE,1893.19
Ashburn,US,Sydney,AU,15674.86
Tbilisi,GE,Doha,QA,1925.94
Sao Gabriel da Cachoeira,BR,Sao Paulo,BR,3406.06
Valletta,MT,Auckland,NZ,18253.42
Maryborough,AU,Sydney,AU,934.61
Paris,FR,Hamburg,DE,746.44
Santiago,CL,Los Angeles,US,8989.09
Lagos,NG,Lagos,NG,0.0
Sanaa,YE,Tel Aviv,IL,2085.52
Jamestown,AU,Sydney,AU,1171.4
Milan,US,Reisterstown,US,1186.59
Lagos,NG,New York,US,8476.02
Stone Mountain,US,Lorain,US,865.05
Miami,US,Omaha,US,2253.6
San Jose,US,Miami,US,4117.77
Georgetown,GY,Bogota,CO,1777.95
Ashburn,US,Denver,US,2352.88
Paris,FR,Cape Town,ZA,9306.89
Paris,FR,Madrid,ES,1052.95
Sydney,AU,Charleston,US,15311.71
Corwen,GB,London,GB,275.68
Kingston,JM,Denver,US,3623.52
Portland,US,Toronto,CA,3397.54
St. Thomas,CA,Toronto,CA,182.02
Winnipeg,CA,Stavanger,NO,6075.27
Winnipeg,CA,Miami,US,3046.23
Minneapolis,US,London,GB,6475.37
Iqaluit,CA,Moncton,CA,1975.98
Abakaliki,NG,Amsterdam,NL,5113.96
Perth,AU,Milan,IT,13693.07
Madrid,ES,Brussels,BE,1316.62
Stockholm,SE,Stavanger,NO,705.34
Wiarton,CA,Toronto,CA,179.81
Auckland,NZ,Stavanger,NO,17420.53
Tyrone,US,New York,US,364.62
Phoenix,US,San Francisco Bay Area,US,1044.22
New Bethlehem,US,Washington,US,305.51
London,GB,New York,US,5581.2
New York,US,San Francisco Bay Area,US,4147.91
Cleveland,US,Atlanta,US,889.54
