h3Index,lat,lon,parent_data_points
8412c81ffffffff,49.566135,-113.51282,127282.0
8412c83ffffffff,49.275799,-113.066015,127282.0
8412c85ffffffff,49.474843,-114.086909,127282.0
8412c87ffffffff,49.187436,-113.638778,127282.0
8412c89ffffffff,49.94647,-113.384288,127282.0
8412c8bffffffff,49.655016,-112.933697,127282.0
8412c8dffffffff,49.854626,-113.96479,127282.0
8412c91ffffffff,49.066718,-112.048207,127282.0
8412c93ffffffff,48.770008,-111.61323,127282.0
8412c95ffffffff,48.983686,-112.624342,127282.0
8412c97ffffffff,48.689861,-112.187765,127282.0
8412c99ffffffff,49.445199,-111.905836,127282.0
8412c9bffffffff,49.147255,-111.467356,127282.0
8412c9dffffffff,49.361742,-112.488349,127282.0
8412ca1ffffffff,49.003713,-114.769397,127282.0
8412ca3ffffffff,48.720278,-114.323897,127282.0
8412ca5ffffffff,48.908486,-115.327165,127282.0
8412ca7ffffffff,48.62792,-114.880637,127282.0
8412ca9ffffffff,49.381209,-114.655916,127282.0
8412cabffffffff,49.096718,-114.206587,127282.0
8412cadffffffff,49.285299,-115.219797,127282.0
8412cb1ffffffff,48.522323,-113.322838,127282.0
8412cb3ffffffff,48.232547,-112.888357,127282.0
8412cb5ffffffff,48.435058,-113.883272,127282.0
8412cb7ffffffff,48.148117,-113.447493,127282.0
8412cb9ffffffff,48.898226,-113.195704,127282.0
8412cbbffffffff,48.607278,-112.757652,127282.0
8412cbdffffffff,48.810402,-113.762238,127282.0
8412cc1ffffffff,50.619052,-113.712934,127282.0
8412cc3ffffffff,50.328413,-113.253103,127282.0
8412cc5ffffffff,50.523654,-114.301343,127282.0
8412cc7ffffffff,50.236038,-113.840158,127282.0
8412cc9ffffffff,51.003635,-113.583038,127282.0
8412ccbffffffff,50.711933,-113.119185,127282.0
8412ccdffffffff,50.907694,-114.178198,127282.0
8412cd1ffffffff,50.122683,-112.207991,127282.0
8412cd3ffffffff,49.825275,-111.760568,127282.0
8412cd5ffffffff,50.035845,-112.798669,127282.0
