h3Index,lat,lon,parent_data_points,client_server_distance_km
82002ffffffffff,79.649682,22.599927,0.0,2167.3732494522246
820127fffffffff,70.683933,24.354967,0.0,1169.3039479547087
820137fffffffff,70.309462,32.28929,0.0,1176.1883502485464
820157fffffffff,77.272426,17.017122,0.0,1924.1338241778922
82015ffffffffff,79.313332,7.432123,0.0,2210.0469570972296
820207fffffffff,79.220986,-107.429202,0.0,3143.0885877903406
82020ffffffffff,77.083685,-98.752497,0.0,2966.418939503668
82021ffffffffff,76.430322,-111.153562,0.0,2824.9948445241685
82022ffffffffff,79.63126,-91.747247,0.0,3289.2039247091157
820247fffffffff,74.396576,-81.177911,0.0,2826.573595734537
82024ffffffffff,71.558013,-78.060813,0.0,2596.440559793642
820257fffffffff,74.662902,-92.427968,0.0,2764.0104358272188
82025ffffffffff,72.039305,-87.719205,0.0,2508.457746242325
820267fffffffff,76.464055,-72.69055,0.0,3142.7113338899967
820277fffffffff,77.104476,-85.48851,0.0,3067.793711277764
82028ffffffffff,72.360893,-122.445505,0.0,2405.054754698933
82029ffffffffff,70.865562,-129.817452,0.0,2344.4781636108755
8202affffffffff,75.262149,-121.800796,0.0,2714.7792927336172
8202c7fffffffff,71.546615,-106.888579,0.0,2307.328651542142
8202cffffffffff,69.271608,-101.340143,0.0,2134.7188200427713
8202d7fffffffff,70.656362,-115.427371,0.0,2181.2424930457696
8202dffffffffff,68.666048,-109.411189,0.0,1974.6379006749019
8202e7fffffffff,74.366715,-103.500736,0.0,2638.551615245553
8202effffffffff,72.028523,-97.511455,0.0,2462.382334771875
8202f7fffffffff,73.565391,-113.64716,0.0,2503.676577025379
820347fffffffff,80.918789,-62.402619,0.0,3200.4010574015997
820357fffffffff,81.889789,-80.840578,0.0,3502.206158896169
82035ffffffffff,79.245445,-75.81536,0.0,3370.277871401107
820447fffffffff,75.427229,177.819029,0.0,3909.2019756814893
82045ffffffffff,72.342479,177.537009,0.0,3851.4135534660886
820467fffffffff,78.520454,178.250116,0.0,3992.362966078821
82054ffffffffff,81.603602,178.99078,0.0,4043.0142040752976
820747fffffffff,64.50541,-18.18008,0.0,1390.009686723506
82075ffffffffff,64.68897,-24.147191,9.0,1612.4024771210893
820777fffffffff,66.668909,-14.09033,0.0,1311.3954855108007
820807fffffffff,64.7,10.536199,0.0,684.7735902950539
820817fffffffff,62.768891,11.927741,0.0,504.7411403867724
