h3Index,lat,lon,parent_data_points,resolution
820fa7fffffffff,69.267606,-84.121999,0.0,2
820faffffffffff,66.388222,-81.30484,0.0,2
820fb7fffffffff,69.48363,-92.79226,0.0,2
821097fffffffff,49.771798,48.472652,0.0,2
82109ffffffffff,51.001718,52.690804,0.0,2
821107fffffffff,60.706011,31.280796,0.0,2
821127fffffffff,61.432681,26.534523,0.0,2
82112ffffffffff,63.367089,30.391228,0.0,2
821137fffffffff,58.815321,27.627842,0.0,2
821197fffffffff,51.270296,37.139781,0.0,2
8211b7fffffffff,52.440533,33.300002,0.0,2
821207fffffffff,59.004804,-119.290684,0.0,2
82120ffffffffff,57.089306,-115.179993,0.0,2
821217fffffffff,57.912871,-123.966074,0.0,2
82121ffffffffff,56.175092,-119.850155,0.0,2
821227fffffffff,61.883442,-118.617736,0.0,2
82122ffffffffff,59.947995,-114.146733,0.0,2
821237fffffffff,60.74474,-123.779459,0.0,2
821247fffffffff,55.601731,-106.520456,0.0,2
82124ffffffffff,53.252522,-103.297238,0.0,2
821257fffffffff,55.025011,-111.438662,0.0,2
82125ffffffffff,52.839617,-108.046859,0.0,2
821267fffffffff,58.402545,-104.721599,0.0,2
82126ffffffffff,55.983899,-101.340222,0.0,2
821277fffffffff,57.843755,-110.124402,0.0,2
821287fffffffff,54.007524,-128.00411,0.0,2
82128ffffffffff,52.427505,-124.255425,0.0,2
821297fffffffff,52.816591,-131.515359,0.0,2
82129ffffffffff,51.371828,-127.85323,0.0,2
8212a7fffffffff,56.711703,-128.180192,0.0,2
8212affffffffff,55.136783,-124.122466,0.0,2
8212b7fffffffff,55.436237,-131.95891,0.0,2
8212c7fffffffff,51.543143,-116.786808,0.0,2
8212cffffffffff,49.566135,-113.51282,127282.0,2
8212d7fffffffff,50.712304,-120.726642,0.0,2
8212dffffffffff,48.880254,-117.423357,0.0,2
8212e7fffffffff,54.283186,-116.047869,0.0,2
8212effffffffff,52.261147,-112.554426,0.0,2
8212f7fffffffff,53.407262,-120.322536,0.0,2
821307fffffffff,66.524177,-123.272152,0.0,2
82130ffffffffff,64.796205,-117.79315,0.0,2
821317fffffffff,65.129099,-128.943813,0.0,2
82131ffffffffff,63.619804,-123.552928,0.0,2
821327fffffffff,69.443016,-122.915014,0.0,2
82132ffffffffff,67.726576,-116.759656,0.0,2
821337fffffffff,67.994292,-129.32593,0.0,2
821347fffffffff,63.574282,-106.652647,0.0,2
82134ffffffffff,61.220415,-102.574906,0.0,2
821357fffffffff,62.84325,-112.896751,0.0,2
82135ffffffffff,60.700326,-108.555342,0.0,2
821367fffffffff,66.441213,-104.30316,0.0,2
82136ffffffffff,64.029109,-99.976904,0.0,2
821377fffffffff,65.756457,-111.355547,0.0,2
821387fffffffff,60.841222,-133.094176,0.0,2
82138ffffffffff,59.474517,-128.38836,0.0,2
821397fffffffff,59.332075,-136.985997,0.0,2
82139ffffffffff,58.114695,-132.478158,0.0,2
8213a7fffffffff,63.603511,-133.836605,0.0,2
8213affffffffff,62.284566,-128.638257,0.0,2
8213b7fffffffff,61.998633,-138.04261,0.0,2
821587fffffffff,50.873925,117.682126,0.0,2
821597fffffffff,48.42049,117.454783,0.0,2
8215b7fffffffff,49.820822,113.897761,0.0,2
82166ffffffffff,56.275005,-178.671747,0.0,2
821827fffffffff,54.851488,-8.959985,0.0,2
82182ffffffffff,52.274404,-6.975835,125061.0,2
821847fffffffff,46.928046,-3.564659,0.0,2
82184ffffffffff,44.193743,-2.092844,0.0,2
821867fffffffff,49.035216,-1.023126,16.0,2
82186ffffffffff,46.320954,0.358942,0.0,2
821877fffffffff,49.627484,-5.185398,0.0,2
82190ffffffffff,56.882037,-6.143071,0.0,2
82192ffffffffff,58.760877,-3.147846,0.0,2
821947fffffffff,53.652814,0.214259,0.0,2
82194ffffffffff,51.007441,1.63377,611177.0,2
821957fffffffff,54.331897,-4.249993,0.0,2
82195ffffffffff,51.710983,-2.552053,23.0,2
82196ffffffffff,52.83905,4.401874,10005.0,2
821977fffffffff,56.2421,-1.370384,0.0,2
821aa7fffffffff,47.883144,-52.807027,3777.0,2
821ab7fffffffff,46.518956,-56.673595,0.0,2
