h3Index,lat,lon,parent_data_points
831f1dfffffffff,52.931802,13.878959,652732.0
831f1efffffffff,51.915627,11.3651,652732.0
831f40fffffffff,54.716272,24.682976,316.0
831f41fffffffff,54.642575,26.506407,316.0
831f42fffffffff,53.919355,23.701289,316.0
831f43fffffffff,53.860131,25.504534,316.0
831f44fffffffff,55.554598,23.838508,316.0
831f45fffffffff,55.493812,25.689054,316.0
831f46fffffffff,54.762518,22.854143,316.0
831f50fffffffff,53.121993,20.959815,20697.0
831f51fffffffff,53.1035,22.743673,20697.0
831f52fffffffff,52.274519,20.048985,20697.0
831f53fffffffff,52.269186,21.809769,20697.0
831f54fffffffff,53.95651,20.088406,20697.0
831f55fffffffff,53.951494,21.894718,20697.0
831f56fffffffff,53.113842,19.17802,20697.0
831f60fffffffff,57.142683,23.983175,498.0
831f61fffffffff,57.080253,25.88354,498.0
831f62fffffffff,56.374723,22.97054,498.0
831f63fffffffff,56.327306,24.848194,498.0
831f65fffffffff,57.890921,25.022481,498.0
831f66fffffffff,57.176298,22.078494,498.0
831f80fffffffff,47.984658,6.917933,2814.0
831f81fffffffff,48.160665,8.492353,2814.0
831f82fffffffff,47.009137,6.279535,2814.0
831f83fffffffff,47.191056,7.826086,2814.0
831f84fffffffff,48.759199,5.995744,2814.0
831f85fffffffff,48.949239,7.575818,2814.0
831f86fffffffff,47.788845,5.366523,2814.0
831f98fffffffff,45.393601,8.065292,323622.0
831f99fffffffff,45.548013,9.599806,323622.0
831f9afffffffff,44.398605,7.429053,323622.0
831f9bfffffffff,44.558505,8.937783,323622.0
831f9cfffffffff,46.210609,7.179171,323622.0
831f9dfffffffff,46.378716,8.720076,323622.0
831f9efffffffff,45.220127,6.550937,323622.0
831fa0fffffffff,50.468291,5.698712,29382.0
831fa1fffffffff,50.666128,7.313714,29382.0
831fa2fffffffff,49.514403,5.059681,29382.0
831fa3fffffffff,49.718535,6.644556,29382.0
831fa4fffffffff,51.198292,4.738468,29382.0
831fa5fffffffff,51.410408,6.358188,29382.0
831fa6fffffffff,50.250041,4.109939,29382.0
831fb0fffffffff,48.320927,2.911185,206769.0
831fb1fffffffff,48.549443,4.440311,206769.0
831fb2fffffffff,47.375484,2.348347,206769.0
831fb3fffffffff,47.574136,3.839848,206769.0
831fb4fffffffff,49.200538,2.002504,206769.0
831fb5fffffffff,49.290686,3.501104,206769.0
831fb6fffffffff,48.254242,1.440556,206769.0
